hamster_id	DPI	MVb	animal_name	sex	sacrifice_day	variant	cage_id
1288	4	64.35617036404817	CoV1288	M	D14	Delta	5
1289	4	67.8090843920941	CoV1289	M	D14	Delta	6
1290	4	68.46675019945417	CoV1290	M	D14	Delta	6
1291	4	149.8863414393531	CoV1291	F	D14	Delta	7
1293	4	63.65931068054617	CoV1293	F	D5	Delta	7
1294	4	84.87780891580785	CoV1294	F	D5	Delta	8
1295	4	156.48378569549985	CoV1295	F	D5	Delta	8
1277	5	76.09524060602058	CoV1277	M	D5	Alpha	1
1278	5	75.59272343403585	CoV1278	M	D14	Alpha	1
1279	5	62.971619872008866	CoV1279	M	D14	Alpha	2
1280	5	69.4242139803309	CoV1280	M	D14	Alpha	2
1281	5	68.5482597732544	CoV1281	F	D14	Alpha	3
1283	5	73.74796159475441	CoV1283	F	D5	Alpha	3
1284	5	87.75826630427919	CoV1284	F	D5	Alpha	4
1285	5	95.92561735882855	CoV1285	F	D5	Alpha	4
1287	5	59.18738454780323	CoV1287	M	D5	Delta	5
1288	5	87.9432275390625	CoV1288	M	D14	Delta	5
1289	5	68.92768112182617	CoV1289	M	D14	Delta	6
1290	5	62.70046151089831	CoV1290	M	D14	Delta	6
1291	5	73.4059666188558	CoV1291	F	D14	Delta	7
1293	5	65.40240286509196	CoV1293	F	D5	Delta	7
1294	5	145.5878740190626	CoV1294	F	D5	Delta	8
1295	5	78.08103832782515	CoV1295	F	D5	Delta	8
